gene	GSM4237826	GSM4237827	GSM4237828	GSM4237829	GSM4237830	GSM4237831	GSM4237832	GSM4237833	GSM4237834	GSM4237835	GSM4237836	GSM4237837
BBC3	8.723	8.920	8.882	8.992	9.881	10.184	8.415	7.517	8.484	7.697	9.475	8.081
BBS1	8.521	9.005	8.897	8.629	9.012	8.124	8.921	8.781	8.667	8.598	7.873	9.091
BCAT1	9.674	9.944	9.929	8.682	9.577	8.878	8.944	7.088	10.655	11.267	8.883	9.281
BCL2	9.006	8.348	8.145	9.061	8.798	9.178	8.135	8.290	8.896	8.097	7.365	8.222
BCL2L1	10.526	10.485	10.391	9.585	10.796	11.292	10.388	10.151	11.950	10.159	10.134	10.072
BCL6B	6.807	5.412	6.417	6.332	6.255	6.049	6.657	6.043	5.785	5.958	4.815	6.296
BID	7.657	8.268	8.190	9.253	8.408	7.970	8.181	8.264	7.763	7.840	7.898	8.371
BIRC3	6.540	4.724	4.514	4.100	4.204	6.599	3.782	2.473	3.497	3.759	2.898	3.625
BIRC5	6.242	8.355	8.613	9.762	8.823	7.432	8.814	9.037	6.305	7.422	11.300	7.511
BLK	2.657	3.876	3.450	2.585	4.567	4.242	1.975	1.795	2.732	1.004	7.611	2.184
BLM	7.212	7.783	8.795	8.509	8.606	7.196	7.652	7.187	8.921	9.175	7.694	8.222
BMP2	7.196	8.154	8.046	8.703	8.474	6.599	7.869	7.912	6.750	7.938	7.275	7.145
BNIP3	8.943	9.887	9.130	8.833	8.626	8.432	7.820	7.781	9.115	8.924	8.990	8.935
